input,output,text_ar,text_fr,text_en,price,shortened_question
0,null,"يرجى إدخال الرقم المقابل للبيتزا المطلوبة","Veuillez entrer le numéro correspondant à la pizza souhaitée","Please enter the number corresponding to the pizza you want",Pizza
1,16,بيتزا نابوليتانا,Pizza Napolitaine,Napolitan Pizza,450
2,16,بيتزا ريفية,Pizza Champêtre,Countryside Pizza,550
3,16,بيتزا الدجاج,Pizza Poulet,Chicken Pizza,550
4,16,بيتزا التونة,Pizza Thon,Tuna Pizza,600
5,16,بيتزا ٣ أجبان,Pizza 3 Fromages,Three Cheese Pizza,600
6,16,بيتزا نباتية,Pizza Végétarienne,Vegetarian Pizza,650
7,16,بيتزا ماريناس,Pizza Marinas,Marinas Pizza,850
8,16,بيتزا صياد,Pizza Pêcheur,Fisherman’s Pizza,950
9,16,بيتزا رويال,Pizza Royale,Royal Pizza,1200
