input,output,text_ar,text_fr,text_en,price,shortened_question
0,null,"يرجى اختيار الإضافات. لتخطي هذه المرحلة، اضغط مباشرة على 11، أو اختر الإضافات التي ترغب في إضافتها ثم اضغط على 11 للتأكيد","Veuillez choisir vos suppléments. Pour sauter cette étape, appuyez directement sur 11, sinon choisissez les suppléments à ajouter, puis tapez sur 11 pour confirmer","Please choose your toppings. To skip this step, press 11 directly, or select the toppings to add, then press 11 to confirm",,Supplément
1,19,كاتشب,Ketchup,Ketchup,0
2,19,خردل,Moutarde,Mustard,0
3,19,مايونيز,Mayonnaise,Mayonnaise,0
4,19,صلصة باربكيو,SauceBBQ,BBQ Sauce,0
5,19,دجاج,Poulet,Chicken,150
6,19,بيبروني,Peperonni,Pepperoni,150
7,19,لحم الخنزير,Bacon,Bacon,150
8,19,جبنة شيدر,Cheddar,Cheddar,150
9,19,جبنة سويسرية,Suisse,Swiss,150
10,19,روبيان,Crevettes,Shrimp,150
11,25,فلفل أحمر,Confirmer les supplements,Confirm supplements,0
